,precision,recall,f1-score,support
Antenne,0.96,0.9230769230769231,0.9411764705882353,26.0
Assainissement,0.8666666666666667,0.8125,0.8387096774193549,32.0
ascenseur,0.8,0.96,0.8727272727272728,25.0
chaufferie,0.9285714285714286,0.9069767441860465,0.9176470588235294,43.0
couverture étanchéité,0.7971014492753623,0.9166666666666666,0.8527131782945736,60.0
désinsectisation/dératisation,0.9444444444444444,0.7391304347826086,0.8292682926829269,23.0
espaces verts,0.8461538461538461,0.6111111111111112,0.7096774193548387,18.0
accuracy,0.8634361233480177,0.8634361233480177,0.8634361233480177,0.8634361233480177
macro avg,0.877562547873107,0.8384945542604795,0.8517027671272474,227.0
weighted avg,0.8696078553806958,0.8634361233480177,0.861658406335136,227.0
