content;label
Oui, Bonjour, Pauline à votre service, Allô oui Bonjour, Oh Bonjour monsieur Durand, la dite Madame, j'ai un gros problème, je vais souhaiter oki, pas là au-dessus de plafond alors j'ai téléphoné à la mairie, j'ai été chercher des pastilles, on les a mis un petit peu par-ci par-là et au niveau des prises seulement le problème c'est qu'ils sont entre les placos et e grenier au niveau. Gg fait tout le tour, il n'y a pas de trou, ya rien du tout. Alors toute la nuit, ça gratte ça. Moi, j'ai pu dormir alors qu'on peut faire quelque chose. Je vais prendre votre nom et prénom. Alors, le nom, c'est monsieur Legrand? Oui. Mais votre adresse, s'il vous plaît. Alors 4 rue, sésame à Wattrelos. Merci. Pouvez-vous me communiquer un numéro de téléphone, s'il vous plaît, monsieur? Voilà j'ai aussi 06 44 32 33. J'ai 33 32 33 32 500 ml portable l'adresse e-mail, éventuellement monsieur Legrand non j'ai pas d'accord mon petit instant accéder à votre dossier donc si j'ai bien compris, il y a de la présence de souris et de rats dans le plafond, c'est ça Ben il passe entre le placo mais moi je peux pas démouler un plateau bois donc il faudrait passer soit par toi mais vu mon âge et on s'est pas passé par les greniers parce qu'ils ont mis de la mousse et on sait plus marcher. Sur les poutres enfin, moi, je pourrais pas y aller. J'ai 70 ans et on monsieur, par contre, c'est une charge locative. Les souris dans le logement. Il va falloir que vous faites appel à une société, monsieur. 3?  3? Dans les plafonds. Ouais, je comprends, mais nous, on pourra pas intervenir, c'est pas pris en charge dans le contrat monsieur bon Ben je vais essayer de voir alors parce que le problème, c'est quand ils ont déjà tout le quartier, vais t'envoyer cominges vais voir un psy 2 3 jours, merci beaucoup au revoir et bonne journée à vous. Merci de votre appelle monsieur Legrand voir. ;désinsectisation/dératisation
Oui, Amandine à votre écoute, Bonjour oui, Bonjour Madame, c'est Madame dizaine, Valérie voilà, je demeure, 90, rue Châteaubriant, 12 e étage, porte 3 à Lambersart. Alors je reprendre votre nom, vous pouvez me rappeler s'il vous plaît Madame, alors Ben guiz LGHY zl je vous remercie, j'ai un téléphone qui se termine par 12620. Oui, c'est ça. Que puis-je faire pour vous, Madame? Alors voilà, l'ascenseur père est bloqué aussi, j'aime. C'est à dire qu'il va plus les portes qui s'ouvre est issu erme. Exact, il est bloqué au sixième étage. Oui. L'absence de Robert, je vous invite à patienter quelques instants et j'accepte avec toi aussi. Je reviens vers vous de suite, merci.              Madame Gisèle jours, merci d'avoir patienté, donc j'ai transmis un bon d'intervention auprès du prestataire pour qu'il puisse intervenir. D'accord bon Ben je vous remercie beaucoup mais de rien je souhaite une agréable journée. Pareillement, vous aussi merci, je vous appelle Madame, au revoir. ;ascenseur
Oui, Bonjour Céline à votre écoute, oui, Bonjour, je vous donne mon numéro de dossier 0416 17259. Exact car votre nom et prénom, l'oiseau, Marie-Paule, je vous remercie, votre adresse mail oiseaux 11 rue Joseph, Angers appartement 31, Tourcoing. Explorez votre numéro de téléphone s'il vous plaît. 06 72 20 41 39. Je vous remercie, je vous écoute pour votre demande, même l'oiseau alors je vous appelle au sujet de l'ascenseur qui est en panne depuis. Nous sommes le 26 depuis le 24, j'ai constaté ça. J'ai appelé vers 18h 15 le 24 au soir et j'ai rappelé hier matin à la société Otis et toujours pas de dépannage. Et je dois emmener maman qui a 96 ans dans la matinée e donc il sait aussi ce que vous appelez directement chez nous, même réseau et ce numéro qui émit é dans l'ascenseur et d'accord alors il faut nous appeler nous é également nous. En fait, on crée le les bons d'intervention pour la société donc vous pouvez les appeler en direct. Mais dans ce cas là moi je n'ai aucun suivi avec David vous demande donc moi je vais faire l'appel ce matin. D'habitude groinge appelé aussi s'est passé mais là Eh bien je sais pas si d'autres voisins ont appelé ça je je n'ai pas parlé j'ai pas vu occasion de donc je n'ai pas d'information dans ce sens mais je je vais l'indiquer c'est les portes sont bloquées ouvertes où fermées on bloqué à tous les étages et c'est selon les boutons on appuie sur le palier il semblerait que y a pas de courant dedans il n'y a pas de lumière qui s'allume e vous pouvez rentrer dans l'ascenseur où il ne fonctionne pas du tout? Non donc les portes elles sont bloquées, ouvertes où fermées. L'actuel maire, mais les portes sont fermées, toutes fermées à toutes les eaux, 4 étages. Les portes sont fermées. Il comprit. Rez-de-chaussée, d'accord, bon Ben écoutez moi c'est noté, je préviens nous en plus, la société outils de mon côté afin que le nécessaire puisse être fait au plus vite. Et hier matin, j'ai appelé. J'avais demandé à ce que monsieur pas poulain me rappelles au sujet de l'isolation des ouvertures. Comment faire pour se protéger la canicule sont sont volés aux persiennes et Ben il a pas faim il m'a pas rappeler jusqu à maintenant d'accord Ben écoutez ça moi je relance de mon côté c'est effectivement lui qui va vous recontacter j'ai bien à votre demande donc suite à votre appel d'hier à ce sujet par contre d'accord donc ça été transmis et moi je relance de mon côté même oiseau heureusement épouvantable on a un grand bond Windows de 2 mètres sur plus de 2 mètres? Oui de voiture de même plus et on ne peut pas vivre. Il était né vers les ouvertures en 33 ans. Alors j'aimerais avoir des nouvelles à ce sujet, comme donner des solutions. Merci, merci, merci donc l'ascenseur c'est urgent. C'est depuis e le 20418 heures il est enfin enfin ce que j'ai constaté. C'est donc j'espère d'urgence, parce que là, mais c'est déjà envoyé, moi, Madame la joie, donc j'ai fait le nécessaire. Beaucoup de demandes rassurez vous merci à vous de votre appel. Bonne journée également au revoir bientôt. ;ascenseur
Élodie, Bonjour sur une autre école, Bonjour Madame voilà, je vous téléphone au sujet de pour ma télé parce que j'ai fait le la recherche automatique. Oui et j'ai j'ai perdu des chaînes, j'ai perdu la 20 21 23 24 25 et elles n'ont pas juste changer de cadeau. Non, non, non, parce que j'ai fait venir un technicien, j'ai été voir un monsieur qui font des pauses de télévision, d'électroménager et moi et il est venu avec un appareil. Il m'a dit que c'est les fréquences, ils ont changé oui et que vu le jeu n'a pas changé les fréquences sur l'antenne. Quoi sur e la source d'accord? Euh, vous avez la nectarine, la seule impactée dans votre résidence? J'ai rien compris, vous êtes la seule impactée dans votre résidence. Vous êtes la seule à ne plus avoir ces chaînes? Non, non, non, non non, il YA plusieurs personnes qui l'accord. D'accord, bon, on va faire le nécessaire, j'ai reprendre votre votre adresse, Madame s'il vous plaît, votre nom, Madame Van driessche va mdr IE 2 SC Ah d'accord votre adresse Madame André h 2 sur 14 rue de Tournai résidence les croisières à la noix d'accord sur votre dossier j'ai également un téléphone portable qui finit par 40 et 65, c'est bien ça c'est bien ça Madame est peut être pour finir un e-mail à me confirmer s'il vous plaît j'ai pas compris s'il vous plaît une adresse mail. Une adresse électronique a attendu. Il faut que je prends mon porte monnaie parce que j'avais dans mon parcours et André Julien ça tout de suite. Merci beaucoup. Alors, l'adresse mail?   Oui. Alors? Fini ai NY, oui point oui, point MV oui 68 oui arobase oui j'ai mais le point parfait. Merci beaucoup Madame alors je vais patienter un court instant. Je consulte votre dossier ont fait le nécessaire d'accord, okay merci.      E? Voilà.  ;Antenne
Dia, mandanne à votre écoute, Bonjour oui, Bonjour Madame, je me permet de vous téléphoner de la part de Madame Lucie Évelyne. Elle habite au 143 rues. Ton cursus à votre look? Oui, et depuis hier, la pub TV. Alors le courant? Oui, la partie la plus de télé, bon Ben moi je on est dans le même bloc. Ils ont même salué dans la même manger au moins les lots 3 mois sur le set. Oui, moi j'ai la télé, tout le monde à la télé, mais elle ne l'a plus donc hier au soir, à s'étendre mal car j'ai téléphoné à l'enfant. Supprimer ils ont dit qu'ils pouvaient rien faire et que que ce matin, on devait vous appeler, alors je me permets de vous appeler. Bien sûr je rentre, j'ai un numéro de téléphone qui se termine par 55260, c'est bien ça? Oui, c'est Madame. Je vous remercie alors par contre, effectivement, si vous avez encore c'est une antenne collective, ouais voisins ont encore une réception niveau de la télé, c'est que c'est que ce n'est pas au niveau de l'antenne ans donc ça peut provenir peut être une de sa prise. Oui salut, Ben oui, oui, mais elle dont elle a pu ses enfants, ils ne l'ont plus non plus. C'est ça que je comprends pas ces enfants dans dans dans leur chambre d'hôtel, dans sa sente. Oui donc d'accord, je vous demande de patienter quelques instants et je regarde le dossier. Merci oui.     En petite question, c'est mon dernier jour. J'en profite en télé les voisins, je dois encore, mais le plus chez elle.  Ces enfants n'ont plus à l'étage. De même, même si c'est du collectif. Remets les voisins ils ont.   Non appartement. Un.  Non.  Est-ce que je me suis dit aussi comme ils ont dit, chambre?  Vers la voisine qui appelle.    Établissez une affaire confirmez. En marchant?   Ah, c'est pour ça. Bonjour.  J'en sais rien, j'ai pas demandé. Mais quand bien même ça n'a rien à voir, même si la box, elle, peut, elle coûte quand même à ta réception télé. On a déjà eu des pannes de boxe. Programme? ;Antenne
Avis technique avis Bonjour. Bonjour monsieur monsieur EC 4 e 5092, 190 Wasquehal bricout, Jocelyne porte, 4604, rue Jean Bart. Tél, 03 20 65 19 43. Mais ainsi que je peux faire pour vous, Madame Brico, et bien c'est l'ascenseur de l'immeuble. Ça fait plusieurs jours qu'il ne marche pas. Ou alors il marche momentanément e la société hélice mana viens repart. ;ascenseur
Oui, Allô Jacques, Bonjour Céline à votre écoute, oui, Bonjour Madame, je vous téléphone parce que j'ai quelques problèmes chez moi. Oui, alors accède au dossier? Donnez-moi votre nom et prénom alors c'est rousselle RU 2 s 2 l prénom Marc Antoine daccord votre adresse monsieur Roussel, 10 sur 33 rue du haut vinage à Tourcoing. Je vous remercie et votre numéro de téléphone et adresse mail, s'il vous plaît. 03 20 24 10 49. Je n'ai pas d'adresse mail, je vous remercie, je vous écoute pour votre demande monsieur Roussel, alors je vous téléphone pour vous signaler que j'ai des traces de moisissure sur le mur de ma cuisine, le hall d'entrée. Alors j'aimerais que quelqu'un passe pour vérifier, vérifier tout ça. Exact alors je l'indique, pour les traces de moisissures. Je suis entrain d'y accéder à monsieur Roussel voilà donc on a des traces de moisissure.  Au niveau donc des murs de cuisine et de clous d'entre eux, background, moi, monsieur Roussel, c'est indiqué auprès de votre chargé de patrimoine. C'est lui qui va revenir vers vous. Du coup, pour e effectivement alors si un constat à faire sur place, faire le constat ou pour mandaté la société d'accord et j'aurais un coup de fil pour ça que grounds, ce sera soit votre chargé de patrimoine, soit la société qui reprendra contact avec vous et. ;couverture étanchéité
Nous a servi technique David, Bonjour oui, Bonjour Karine Ben si mal je vous appelle parce que on a comme très souvent actuellement pas d'eau chaude dans la dans les appartements d'accord alors votre adresse s'il vous plaît. 186, boulevard de Créteil, bât H 2 à sa mort. Oui Ben j'ai un portable qui termine par 60 14 65. Oui, l'adresse mail n'a pas changé. Non, alors je vais faire une demande d'intervention immédiatement en. Alors pas de chat? Ouais. Top chaufferie.  Total? ;chaufferie
Oui, Bonjour. Oui, Bonjour monsieur, voilà, je me permet de vous appeler où j'habite 3 rue Clément ader R résidence cheniers, 59 139 Wattignies. Merci, j'ai un nom de oui, allez-YJ'ai un fixe qui termine par 60 14 82. Oui, c'est ça. Oui, c'est mon numéro 2 du bureau et j'ai un portable qui terminent par 50750. C'est ça, oui ou non, doit faire un Christine. Merci l'adresse, mais n'a pas changé tout. Non pas du tout. Même si Arcelor vous. Ben c'est juste pour vous signaler que l'ascenseur est en panne e étage numéro 3 portes ouvertes. D'accord, je vais faire un signalement de suite voilà ascenseur.  Ouvert au troisième étage, troisième étage. Ben écoutez monsieur, je vous remercie pour votre appel. J'ai envoyé médiatement la demande auprès de la société. Motif, d'accord? Merci beaucoup. Je souhaite une bonne journée aussi pour votre appel. Bonne journée au revoir. Merci au revoir. ;ascenseur
Il nous a servi technique, David, Bonjour. Oui, Allô Bonjour voilà, je vous rappelle encore une fois de plus aujourd'hui EJ'avais appelé parce qu'en fait, j'ai signalé qu'il voyait gros dans le bâtiment. Oui, un mois au dessus de ma toiture, ça fait que de gratter, mais c'est pas si ça pigeons ou bien un rongeur, j'en sais rien, mais ça fait 2 semaines que j'avais appelé. J'ai rappelé hier oui, mais apparemment votre collègue e à manger le bon est parti et hier j'ai trouvé un cafard donc là on a pas que des problèmes d'Europe. J'ai aussi des problèmes de cafards. C'est la 1ère fois que je vais à Carrefour chez moi. D'accord? Je regarde votre dossier, Madame confirmez, moi votre nom, prénom et adresse défachelles Marie Myriam, merci l'adresse. 119 sur 7 rue d'Oran, Roubaix. Parce que si vous voulez, moi j'ai appelé à 2 il y a 2 semaines. Normalement, il faut faire intervenir quelqu'un parce que là ça commence à être urgent, mon vagin, mais je crois que le bon d'intervention ont été transmis un. Oui, mais si vous pouvez rajouter aussi avec enfants, je vais me renseigner pour savoir oui. Voilà parce que ça à faire dormir des dents, bore parce que moi j'ai jamais trouvé le karcher. Moi c'est la 1ère fois et hier soir, j'en ai trouvé un d'accord pour rejoindre nos. Il y a le cafard j'ai envoyé immédiatement à la demande à Madame. D'accord, Ben je vous remercie monsieur, je vous en prie, Madame dépasser, aller je vous remercie pour votre appel. Je vous souhaite une bonne journée. Merci bonne journée au revoir Madame. ;désinsectisation/dératisation
